License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Zip Code,Square Footage,Retail_Address
627361,Store,A,AL SAIDI FUAD H,A&F GROCERY,3801,BROADWAY,10032,750,3801 BROADWAY
628075,Store,JAC,AFRICAN AND CARIBBEAN MARKET INC,AFRICAN&CARIBBEAN MKT,403,W 145TH ST,10031,1500,403 W 145TH ST
709670,Store,JAC,A & F TOBACCO & GROCERY INC,A & F TOBACCO & GROCERY,356,WEST 145TH ST,10039,0,356 WEST 145TH ST
629428,Store,JABC,ACITREZZA LLC,AGATA&VALENTINA,64,UNIVERSITY PL,10003,0,64 UNIVERSITY PL
624809,Store,JABC,JAV FOOD CORP,AGATA&VALENTINA,1505,1ST AVE,10075,7000,1505 1ST AVE
623290,Store,JAC,AGUA AZUL DELI GROCERY CORP,AGUA AZUL DELI GROCERY,35,SHERMAN AVE,10040,2100,35 SHERMAN AVE
715137,Store,A,A&H CANDY SHOP CORP,A&H CANDY SHOP,31,LENOX AVE,10026,800,31 LENOX AVE
624206,Store,A,KALAZ HASSAN & SALEH JABER,A&H NEWSTAND,96,7TH AVE,10011,750,96 7TH AVE
708774,Store,JAC,AJ FOOD CENTER INC,AJ FOOD CENTER,1,WEST 131ST ST,10037,1800,1 WEST 131ST ST
731206,Store,JAC,CJS WHOLESALERS,AJS WHOLESALERS/MANDEL,152,WEST 36TH STREET 1ST FLOOR,10018,0,152 WEST 36TH STREET
624777,Store,JAC,ALAN FARMLAND LTD,ALANS FARMLAND,27,COLUMBUS AVE,10023,900,27 COLUMBUS AVE
624988,Store,JAC,YORK&GEORGY INC,ALASKA FOOD MARKET,108,9TH AVE,10011,2000,108 9TH AVE
728569,Store,JAC,A.L. BROADWAY GROCERY CORP,A.L. BROADWAY GROCERY,3770,BROADWAY,10032,0,3770 BROADWAY
703891,Store,A,ALDI INC,ALDI #2,517,E 117TH ST,10035,21,517 E 117TH ST
717859,Store,JAC,ALDI FOOD CENTER CORP,ALDI FOOD CENTER,2108,AMSTERDAM AVE,10032,1800,2108 AMSTERDAM AVE
718902,Store,JAC,ALEGRIA DELI GROCERY INC.,ALEGRIA DELI GROCERY,112,NAGLE AVENUE,10040,0,112 NAGLE AVENUE
